,gene_symbol,GSM1531972,GSM1531973,GSM1531974,GSM1531975,GSM1531976,GSM1531977,GSM1531978,GSM1531979,GSM1531980,GSM1531981,GSM1531982,GSM1531983
ENSMUSG00000086495,LOC102632821,0.03526,0.14426,0.10561,0.09284,0.1255,0.05691,0.06024,0.03491,0.04644,0.07351,0.10603,0.12245
ENSMUSG00000086496,Gm14204,0.07584,0.21761,0.21465,0.09329,0.22936,0.07743,0.09473,0.29281,0.15591,0.06418,0.12278,0.15016
ENSMUSG00000086501,4930597A21Rik,0,0.03607,0,0.03095,0,0,0,0,0,0,0,0.03499
ENSMUSG00000086503,Xist,0.16166,0.28504,0.29269,0.65889,0.16564,0.04983,0.90422,0.18587,0.416,0.35009,0.36359,0.35168
ENSMUSG00000086504,Kif16bos,0,0,0.0352,0.03095,0.03137,0,0.06024,0,0,0,0.03029,0.03499
ENSMUSG00000086509,Nkx2-2os,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000086514,Gm11747,0,0.13346,0,0,0.10083,0,0.0516,0,0,0.10444,0,0
ENSMUSG00000086529,Acss2os,0.08645,0.07409,0.11169,0.03202,0,0.09371,0.06148,0,0.03148,0.12019,0.12237,0.07113
ENSMUSG00000086531,Gm11351,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000086533,Mypopos,0.2283,0.22331,0.21766,0.05901,0.11952,0.11983,0.12583,0.24259,0.3694,0.16701,0.25045,0.32383
ENSMUSG00000086537,Nespas,1.50039,1.55083,1.34439,1.86023,1.17022,1.12078,1.01291,1.36869,0.97232,1.35147,1.79373,1.45512
ENSMUSG00000086541,Has2os,0,0,0,0,0.03137,0,0.09036,0.03491,0.03096,0,0.12117,0
ENSMUSG00000086544,Chn1os3,0.03526,0.03607,0.0352,0.127,0,0.03794,0.15061,0.03491,0.03096,0.0294,0.15147,0.20992
ENSMUSG00000086545,Lrrc3c,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000086549,Gm13648,0.07051,0.1082,0,0.12379,0.09412,0.15177,0.12049,0.17454,0.12385,0.20582,0.06059,0.13994
ENSMUSG00000086552,Dlx4os,0.03526,0.1082,0.04385,0.03095,0,0.07589,0.06024,0.04223,0,0,0.09088,0
ENSMUSG00000086555,Gm13446,0.03526,0,0.0352,0,0,0,0,0,0,0,0,0
ENSMUSG00000086564,Cd101,0.10577,0.28853,0.14082,0.18569,0.09412,0.15177,0.12049,0.17454,0.12385,0.11761,0.24235,0.20992
ENSMUSG00000086569,Rab11fip4os2,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000086588,Gm11729,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000086593,Gm16548,0.23897,0.38197,0.411,0.45577,0.51051,0.43712,0.45011,0.46112,0.52068,0.47882,0.73563,0.79629
